Mixture no.,W/CMa,Cement(kg/m3),"Water 
(KG/M3)","Fly ash  
kg/m3","Fine aggregate
 (kg/m3) ","Coarse aggregate
 (kg/m3)","Superplasticizer 
(kg/m3)",Silica Fume,Age in days,Comp strength (MPa) 
1,0.5,331,165,0,768,1153,0,0,1,19.4
1,0.5,331,165,0,768,1153,0,0,7,32.6
1,0.5,331,165,0,768,1153,0,0,28,40.1
1,0.5,331,165,0,768,1153,0,0,56,43
2,0.53,207,157,89,786,1178,0,0,1,11.5
2,0.53,207,157,89,786,1178,0,0,7,25
2,0.53,207,157,89,786,1178,0,0,28,42.5
2,0.53,207,157,89,786,1178,0,0,56,49
3,0.46,150,139,150,797,1195,0,0,1,5.9
3,0.46,150,139,150,797,1195,0,0,7,21.8
3,0.46,150,139,150,797,1195,0,0,28,41.8
3,0.46,150,139,150,797,1195,0,0,56,47
4,0.42,273,163,117,746,1118,0,0,1,18.5
4,0.42,273,163,117,746,1118,0,0,7,36.5
4,0.42,273,163,117,746,1118,0,0,28,56
4,0.42,273,163,117,746,1118,0,0,56,61
5,0.38,202,155,202,744,1114,0,0,1,12.3
5,0.38,202,155,202,744,1114,0,0,7,34.6
5,0.38,202,155,202,744,1114,0,0,28,55.7
5,0.38,202,155,202,744,1114,0,0,56,62
6,0.43,214,154,143,768,1152,0,0,1,10.5
6,0.43,214,154,143,768,1152,0,0,7,29.7
6,0.43,214,154,143,768,1152,0,0,28,52.7
6,0.43,214,154,143,768,1152,0,0,56,60
7,0.43,213,153,142,763,1146,0,0,1,10.4
7,0.43,213,153,142,763,1146,0,0,7,30.8
7,0.43,213,153,142,763,1146,0,0,28,53
7,0.43,213,153,142,763,1146,0,0,56,59
8,0.43,213,153,142,763,1146,0,0,1,11
8,0.43,213,153,142,763,1146,0,0,7,30.8
8,0.43,213,153,142,763,1146,0,0,28,53.4
8,0.43,213,153,142,763,1146,0,0,56,58
9,0.43,213,153,142,763,1146,0,0,1,10.8
9,0.43,213,153,142,763,1146,0,0,7,31.5
9,0.43,213,153,142,763,1146,0,0,28,50.6
9,0.43,213,153,142,763,1146,0,0,56,59
10,0.52,213,159,91,781,1172,0,0,1,7.2
10,0.52,213,159,91,781,1172,0,0,7,22.5
10,0.52,213,159,91,781,1172,0,0,28,35.9
10,0.52,213,159,91,781,1172,0,0,56,58
11,0.5,150,151,150,792,1187,0,0,1,3.4
11,0.5,150,151,150,792,1187,0,0,7,15.3
11,0.5,150,151,150,792,1187,0,0,28,28
12,0.44,274,174,117,742,1109,0,0,1,11.7
12,0.44,274,174,117,742,1109,0,0,7,31.5
12,0.44,274,174,117,742,1109,0,0,28,44.6
13,0.39,204,161,204,745,1116,0,0,1,8
13,0.39,204,161,204,745,1116,0,0,7,25.9
13,0.39,204,161,204,745,1116,0,0,28,43.8
14,0.44,215,157,143,768,1149,0,0,1,10.3
14,0.44,215,157,143,768,1149,0,0,7,26.5
14,0.44,215,157,143,768,1149,0,0,28,42
15,0.44,215,157,143,768,1149,0,0,1,10.8
15,0.44,215,157,143,768,1149,0,0,7,27.6
15,0.44,215,157,143,768,1149,0,0,28,42.5
16,0.46,211,162,141,767,1150,0,0,1,9
16,0.46,211,162,141,767,1150,0,0,7,25.5
16,0.46,211,162,141,767,1150,0,0,28,39
17,0.44,215,157,143,768,1149,0,0,1,10.1
17,0.44,215,157,143,768,1149,0,0,7,27.3
17,0.44,215,157,143,768,1149,0,0,28,43.5
18,0.24,637,150,0,711,936,18.4,0,7,79.5
18,0.24,637,150,0,711,936,18.4,0,28,97.4
18,0.24,637,150,0,711,936,18.4,0,90,110.2
19,0.24,475,150,158,681,924,18.3,0,7,74.6
19,0.24,475,150,158,681,924,18.3,0,28,105.9
19,0.24,475,150,158,681,924,18.3,0,90,124.5
20,0.24,347,148,283,639,920,23.7,0,7,56.3
20,0.24,347,148,283,639,920,23.7,0,28,89.4
20,0.24,347,148,283,639,920,23.7,0,90,107.2
21,0.19,702,135,0,641,949,35.1,0,7,83.5
21,0.19,702,135,0,641,949,35.1,0,28,96.8
21,0.19,702,135,0,641,949,35.1,0,90,114.5
22,0.19,512,133,173,620,932,34.7,0,7,74.2
22,0.19,512,133,173,620,932,34.7,0,28,102.3
22,0.19,512,133,173,620,932,34.7,0,90,123.6
23,0.19,372,130,305,608,927,33.8,0,7,56.4
23,0.19,372,130,305,608,927,33.8,0,28,88.5
23,0.19,372,130,305,608,927,33.8,0,90,109.2
PC,0.3,600,180,0,1084,595,7.14,0,3,76
PC,0.3,600,180,0,1084,595,7.14,0,7,79.3
PC,0.3,600,180,0,1084,595,7.14,0,28,84
PC,0.3,600,180,0,1084,595,7.14,0,90,88.3
50FA,0.3,300,180,300,958,595,0.75,0,3,40.8
50FA,0.3,300,180,300,958,595,0.75,0,7,48.9
50FA,0.3,300,180,300,958,595,0.75,0,28,66.4
50FA,0.3,300,180,300,958,595,0.75,0,90,81.1
60FA,0.3,240,180,360,933,595,0.408,0,3,30.6
60FA,0.3,240,180,360,933,595,0.408,0,7,37.9
60FA,0.3,240,180,360,933,595,0.408,0,28,58
60FA,0.3,240,180,360,933,595,0.408,0,90,68.8
70FA,0.3,180,180,420,908,595,0.216,0,3,26
70FA,0.3,180,180,420,908,595,0.216,0,7,28.9
70FA,0.3,180,180,420,908,595,0.216,0,28,45.6
70FA,0.3,180,180,420,908,595,0.216,0,90,55.2
5SF,0.3,570,180,0,1072,595,7.581,30,3,73.7
5SF,0.3,570,180,0,1072,595,7.581,30,7,81.6
5SF,0.3,570,180,0,1072,595,7.581,30,28,95.3
5SF,0.3,570,180,0,1072,595,7.581,30,90,99
10SF,0.3,540,180,0,1059,595,7.722,60,3,78.3
10SF,0.3,540,180,0,1059,595,7.722,60,7,84.5
10SF,0.3,540,180,0,1059,595,7.722,60,28,100.5
10SF,0.3,540,180,0,1059,595,7.722,60,90,106.6
45FA5SF,0.3,300,180,270,958,595,1.11,30,3,43.5
45FA5SF,0.3,300,180,270,958,595,1.11,30,7,56
45FA5SF,0.3,300,180,270,958,595,1.11,30,28,75.2
45FA5SF,0.3,300,180,270,958,595,1.11,30,90,89.5
55FA5SF,0.3,240,180,330,933,595,0.72,30,3,34.9
55FA5SF,0.3,240,180,330,933,595,0.72,30,7,49.1
55FA5SF,0.3,240,180,330,933,595,0.72,30,28,63.4
55FA5SF,0.3,240,180,330,933,595,0.72,30,90,74.1
65FA5SF,0.3,180,180,390,908,595,0.36,30,3,29
65FA5SF,0.3,180,180,390,908,595,0.36,30,7,39.5
65FA5SF,0.3,180,180,390,908,595,0.36,30,28,52.7
65FA5SF,0.3,180,180,390,908,595,0.36,30,90,61.6
40FA10SF,0.3,300,180,240,958,595,1.8,60,3,48.1
40FA10SF,0.3,300,180,240,958,595,1.8,60,7,66.1
40FA10SF,0.3,300,180,240,958,595,1.8,60,28,85.2
40FA10SF,0.3,300,180,240,958,595,1.8,60,90,96.6
50FA10SF,0.3,240,180,300,933,595,1.152,60,3,40
50FA10SF,0.3,240,180,300,933,595,1.152,60,7,55.1
50FA10SF,0.3,240,180,300,933,595,1.152,60,28,73.6
50FA10SF,0.3,240,180,300,933,595,1.152,60,90,85.9
60FA10SF,0.3,180,180,360,908,595,0.684,60,3,35.8
60FA10SF,0.3,180,180,360,908,595,0.684,60,7,46.9
60FA10SF,0.3,180,180,360,908,595,0.684,60,28,61.2
60FA10SF,0.3,180,180,360,908,595,0.684,60,90,80.6
PC,0.35,514,180,0,1131,621,7.71,0,3,65.5
PC,0.35,514,180,0,1131,621,7.71,0,7,75.2
PC,0.35,514,180,0,1131,621,7.71,0,28,83
PC,0.35,514,180,0,1131,621,7.71,0,90,85.4
50FA,0.35,257,180,257,1023,621,0.6682,0,3,35.9
50FA,0.35,257,180,257,1023,621,0.6682,0,7,44.6
50FA,0.35,257,180,257,1023,621,0.6682,0,28,59.2
50FA,0.35,257,180,257,1023,621,0.6682,0,90,70.9
60FA,0.35,206,180,309,1001,621,0.3914,0,3,25.4
60FA,0.35,206,180,309,1001,621,0.3914,0,7,33.7
60FA,0.35,206,180,309,1001,621,0.3914,0,28,52.6
60FA,0.35,206,180,309,1001,621,0.3914,0,90,64
70FA,0.35,154,180,360,980,621,0.2002,0,3,20.5
70FA,0.35,154,180,360,980,621,0.2002,0,7,23.6
70FA,0.35,154,180,360,980,621,0.2002,0,28,39.8
70FA,0.35,154,180,360,980,621,0.2002,0,90,50.1
5SF,0.35,489,180,0,1120,621,7.824,26,3,63.4
5SF,0.35,489,180,0,1120,621,7.824,26,7,77.6
5SF,0.35,489,180,0,1120,621,7.824,26,28,85.3
5SF,0.35,489,180,0,1120,621,7.824,26,90,90.9
10SF,0.35,463,180,0,1110,621,8.1025,51,3,70.8
10SF,0.35,463,180,0,1110,621,8.1025,51,7,81.2
10SF,0.35,463,180,0,1110,621,8.1025,51,28,91.6
10SF,0.35,463,180,0,1110,621,8.1025,51,90,100.4
45FA5SF,0.35,257,180,231,1023,621,1.028,26,3,39.8
45FA5SF,0.35,257,180,231,1023,621,1.028,26,7,50.4
45FA5SF,0.35,257,180,231,1023,621,1.028,26,28,68.4
45FA5SF,0.35,257,180,231,1023,621,1.028,26,90,82.5
55FA5SF,0.35,206,180,283,1001,621,0.6592,26,3,30.3
55FA5SF,0.35,206,180,283,1001,621,0.6592,26,7,44
55FA5SF,0.35,206,180,283,1001,621,0.6592,26,28,57.4
55FA5SF,0.35,206,180,283,1001,621,0.6592,26,90,69.6
65FA5SF,0.35,154,180,334,980,621,0.3388,26,3,24.1
65FA5SF,0.35,154,180,334,980,621,0.3388,26,7,33.5
65FA5SF,0.35,154,180,334,980,621,0.3388,26,28,45.9
65FA5SF,0.35,154,180,334,980,621,0.3388,26,90,57.3
40FA10SF,0.35,257,180,206,1023,621,1.5934,51,3,34.9
40FA10SF,0.35,257,180,206,1023,621,1.5934,51,7,53.1
40FA10SF,0.35,257,180,206,1023,621,1.5934,51,28,75.4
40FA10SF,0.35,257,180,206,1023,621,1.5934,51,90,86.6
50FA10SF,0.35,206,180,257,1001,621,1.03,51,3,30.6
50FA10SF,0.35,206,180,257,1001,621,1.03,51,7,48.2
50FA10SF,0.35,206,180,257,1001,621,1.03,51,28,64.7
50FA10SF,0.35,206,180,257,1001,621,1.03,51,90,78.9
60FA10SF,0.35,154,180,309,980,621,0.616,51,3,24.9
60FA10SF,0.35,154,180,309,980,621,0.616,51,7,40.5
60FA10SF,0.35,154,180,309,980,621,0.616,51,28,51.1
60FA10SF,0.35,154,180,309,980,621,0.616,51,90,70.4
PC,0.4,450,180,0,1166,640,8.1,0,3,56.8
PC,0.4,450,180,0,1166,640,8.1,0,7,65.6
PC,0.4,450,180,0,1166,640,8.1,0,28,72.4
PC,0.4,450,180,0,1166,640,8.1,0,90,80.4
50FA,0.4,225,180,225,1072,640,0.585,0,3,21.6
50FA,0.4,225,180,225,1072,640,0.585,0,7,25.7
50FA,0.4,225,180,225,1072,640,0.585,0,28,41.9
50FA,0.4,225,180,225,1072,640,0.585,0,90,53.1
60FA,0.4,180,180,270,1053,640,0.378,0,3,18
60FA,0.4,180,180,270,1053,640,0.378,0,7,21.2
60FA,0.4,180,180,270,1053,640,0.378,0,28,35.7
60FA,0.4,180,180,270,1053,640,0.378,0,90,48
70FA,0.4,135,180,315,1034,640,0.1755,0,3,14.1
70FA,0.4,135,180,315,1034,640,0.1755,0,7,17.7
70FA,0.4,135,180,315,1034,640,0.1755,0,28,31.7
70FA,0.4,135,180,315,1034,640,0.1755,0,90,41.8
5SF,0.4,428,180,0,1157,640,8.132,23,3,55.6
5SF,0.4,428,180,0,1157,640,8.132,23,7,65.8
5SF,0.4,428,180,0,1157,640,8.132,23,28,75.3
5SF,0.4,428,180,0,1157,640,8.132,23,90,82.4
10SF,0.4,405,180,0,1147,640,8.505,45,3,59.8
10SF,0.4,405,180,0,1147,640,8.505,45,7,69.7
10SF,0.4,405,180,0,1147,640,8.505,45,28,79
10SF,0.4,405,180,0,1147,640,8.505,45,90,86.1
45FA5SF,0.4,225,180,203,1072,640,0.9675,23,3,25.3
45FA5SF,0.4,225,180,203,1072,640,0.9675,23,7,32.1
45FA5SF,0.4,225,180,203,1072,640,0.9675,23,28,51.5
45FA5SF,0.4,225,180,203,1072,640,0.9675,23,90,64
55FA5SF,0.4,180,180,248,1053,640,0.612,23,3,17.1
55FA5SF,0.4,180,180,248,1053,640,0.612,23,7,29.8
55FA5SF,0.4,180,180,248,1053,640,0.612,23,28,39.2
55FA5SF,0.4,180,180,248,1053,640,0.612,23,90,51.3
65FA5SF,0.4,135,180,293,1034,640,0.378,23,3,12.6
65FA5SF,0.4,135,180,293,1034,640,0.378,23,7,18.2
65FA5SF,0.4,135,180,293,1034,640,0.378,23,28,28.2
65FA5SF,0.4,135,180,293,1034,640,0.378,23,90,42.3
40FA10SF,0.4,225,180,180,1072,640,1.44,45,3,26.8
40FA10SF,0.4,225,180,180,1072,640,1.44,45,7,36.5
40FA10SF,0.4,225,180,180,1072,640,1.44,45,28,60.3
40FA10SF,0.4,225,180,180,1072,640,1.44,45,90,71.4
50FA10SF,0.4,180,180,225,1053,640,0.936,45,3,20.3
50FA10SF,0.4,180,180,225,1053,640,0.936,45,7,37
50FA10SF,0.4,180,180,225,1053,640,0.936,45,28,49.1
50FA10SF,0.4,180,180,225,1053,640,0.936,45,90,63.8
60FA10SF,0.4,135,180,270,1034,640,0.621,45,3,15.3
60FA10SF,0.4,135,180,270,1034,640,0.621,45,7,22.9
60FA10SF,0.4,135,180,270,1034,640,0.621,45,28,33.1
60FA10SF,0.4,135,180,270,1034,640,0.621,45,90,52.5
S1-0-0,0.3,500,150,0,724,1086,0,0,3,64.9
S1-0-0,0.3,500,150,0,724,1086,0,0,7,75.5
S1-0-0,0.3,500,150,0,724,1086,0,0,28,86.8
S1-0-0,0.3,500,150,0,724,1086,0,0,56,87.2
S1-0-0,0.3,500,150,0,724,1086,0,0,90,95.7
S1-0-0,0.3,500,150,0,724,1086,0,0,180,97.7
S1-15-0,0.3,425,150,75,700,1086,0,0,3,52.1
S1-15-0,0.3,425,150,75,700,1086,0,0,7,66.4
S1-15-0,0.3,425,150,75,700,1086,0,0,28,86
S1-15-0,0.3,425,150,75,700,1086,0,0,56,94.8
S1-15-0,0.3,425,150,75,700,1086,0,0,90,99.6
S1-15-0,0.3,425,150,75,700,1086,0,0,180,106.3
S1-25-0,0.3,375,150,125,683,1086,0,0,3,48
S1-25-0,0.3,375,150,125,683,1086,0,0,7,65.7
S1-25-0,0.3,375,150,125,683,1086,0,0,28,85.4
S1-25-0,0.3,375,150,125,683,1086,0,0,56,90.4
S1-25-0,0.3,375,150,125,683,1086,0,0,90,95.4
S1-25-0,0.3,375,150,125,683,1086,0,0,180,107.8
S1-45-0,0.3,275,150,225,650,1086,0,0,3,34.1
S1-45-0,0.3,275,150,225,650,1086,0,0,7,49.2
S1-45-0,0.3,275,150,225,650,1086,0,0,28,71.8
S1-45-0,0.3,275,150,225,650,1086,0,0,56,85.4
S1-45-0,0.3,275,150,225,650,1086,0,0,90,87.7
S1-45-0,0.3,275,150,225,650,1086,0,0,180,97.7
S1-55-0,0.3,225,150,275,634,1086,0,0,3,22.3
S1-55-0,0.3,225,150,275,634,1086,0,0,7,36.4
S1-55-0,0.3,225,150,275,634,1086,0,0,28,57.4
S1-55-0,0.3,225,150,275,634,1086,0,0,56,66.6
S1-55-0,0.3,225,150,275,634,1086,0,0,90,72.8
S1-55-0,0.3,225,150,275,634,1086,0,0,180,79.9
S1-0-5,0.3,500,150,0,719,1086,0,5,3,58.3
S1-0-5,0.3,500,150,0,719,1086,0,5,7,75.5
S1-0-5,0.3,500,150,0,719,1086,0,5,28,87.8
S1-0-5,0.3,500,150,0,719,1086,0,5,56,93.1
S1-0-5,0.3,500,150,0,719,1086,0,5,90,93.6
S1-0-5,0.3,500,150,0,719,1086,0,5,180,99.3
S1-20-5,0.3,400,150,100,686,1086,0,5,3,46.3
S1-20-5,0.3,400,150,100,686,1086,0,5,7,65.6
S1-20-5,0.3,400,150,100,686,1086,0,5,28,78.5
S1-20-5,0.3,400,150,100,686,1086,0,5,56,85.8
S1-20-5,0.3,400,150,100,686,1086,0,5,90,90.3
S1-20-5,0.3,400,150,100,686,1086,0,5,180,95.9
S1-40-5,0.3,300,150,200,654,1086,0,5,3,30.5
S1-40-5,0.3,300,150,200,654,1086,0,5,7,48.6
S1-40-5,0.3,300,150,200,654,1086,0,5,28,71.1
S1-40-5,0.3,300,150,200,654,1086,0,5,56,80
S1-40-5,0.3,300,150,200,654,1086,0,5,90,83.4
S1-40-5,0.3,300,150,200,654,1086,0,5,180,88.3
S2-0-0,0.4,400,160,0,710,1157,0,0,3,35
S2-0-0,0.4,400,160,0,710,1157,0,0,7,48.4
S2-0-0,0.4,400,160,0,710,1157,0,0,28,60.7
S2-0-0,0.4,400,160,0,710,1157,0,0,56,67.1
S2-0-0,0.4,400,160,0,710,1157,0,0,90,70.5
S2-0-0,0.4,400,160,0,710,1157,0,0,180,70.6
S2-15-0,0.4,325,160,75,690,1157,0,0,3,29.3
S2-15-0,0.4,325,160,75,690,1157,0,0,7,39.9
S2-15-0,0.4,325,160,75,690,1157,0,0,28,56
S2-15-0,0.4,325,160,75,690,1157,0,0,56,63.4
S2-15-0,0.4,325,160,75,690,1157,0,0,90,68.5
S2-15-0,0.4,325,160,75,690,1157,0,0,180,72.1
S2-25-0,0.4,275,160,125,660,1157,0,0,3,24.7
S2-25-0,0.4,275,160,125,660,1157,0,0,7,33.7
S2-25-0,0.4,275,160,125,660,1157,0,0,28,49.3
S2-25-0,0.4,275,160,125,660,1157,0,0,56,60.8
S2-25-0,0.4,275,160,125,660,1157,0,0,90,66.2
S2-25-0,0.4,275,160,125,660,1157,0,0,180,70.2
S2-45-0,0.4,175,160,225,634,1157,0,0,3,14.5
S2-45-0,0.4,175,160,225,634,1157,0,0,7,20.3
S2-45-0,0.4,175,160,225,634,1157,0,0,28,43.9
S2-45-0,0.4,175,160,225,634,1157,0,0,56,54.1
S2-45-0,0.4,175,160,225,634,1157,0,0,90,61.2
S2-45-0,0.4,175,160,225,634,1157,0,0,180,63.7
S2-55-0,0.4,125,160,275,621,1157,0,0,3,13.6
S2-55-0,0.4,125,160,275,621,1157,0,0,7,19.8
S2-55-0,0.4,125,160,275,621,1157,0,0,28,37.3
S2-55-0,0.4,125,160,275,621,1157,0,0,56,47.1
S2-55-0,0.4,125,160,275,621,1157,0,0,90,52.9
S2-55-0,0.4,125,160,275,621,1157,0,0,180,63.2
S2-0-5,0.4,400,160,0,688,1157,0,5,3,37.3
S2-0-5,0.4,400,160,0,688,1157,0,5,7,53
S2-0-5,0.4,400,160,0,688,1157,0,5,28,69.4
S2-0-5,0.4,400,160,0,688,1157,0,5,56,72.1
S2-0-5,0.4,400,160,0,688,1157,0,5,90,73.7
S2-0-5,0.4,400,160,0,688,1157,0,5,180,64.5
S2-20-5,0.4,300,160,100,662,1157,0,5,3,28.9
S2-20-5,0.4,300,160,100,662,1157,0,5,7,42.1
S2-20-5,0.4,300,160,100,662,1157,0,5,28,62.3
S2-20-5,0.4,300,160,100,662,1157,0,5,56,69.9
S2-20-5,0.4,300,160,100,662,1157,0,5,90,72.4
S2-20-5,0.4,300,160,100,662,1157,0,5,180,76
S2-40-5,0.4,200,160,200,636,1157,0,5,3,14.5
S2-40-5,0.4,200,160,200,636,1157,0,5,7,20.5
S2-40-5,0.4,200,160,200,636,1157,0,5,28,44.6
S2-40-5,0.4,200,160,200,636,1157,0,5,56,55.3
S2-40-5,0.4,200,160,200,636,1157,0,5,90,59.1
S2-40-5,0.4,200,160,200,636,1157,0,5,180,68.4
S3-0-0,0.5,410,205,0,609,1132,0,0,3,26.1
S3-0-0,0.5,410,205,0,609,1132,0,0,7,36.9
S3-0-0,0.5,410,205,0,609,1132,0,0,28,50.8
S3-0-0,0.5,410,205,0,609,1132,0,0,56,57.1
S3-0-0,0.5,410,205,0,609,1132,0,0,90,58.1
S3-0-0,0.5,410,205,0,609,1132,0,0,180,60.6
S3-15-0,0.5,335,205,75,589,1132,0,0,3,23.3
S3-15-0,0.5,335,205,75,589,1132,0,0,7,32.3
S3-15-0,0.5,335,205,75,589,1132,0,0,28,48.9
S3-15-0,0.5,335,205,75,589,1132,0,0,56,55.7
S3-15-0,0.5,335,205,75,589,1132,0,0,90,62.6
S3-15-0,0.5,335,205,75,589,1132,0,0,180,64.8
S3-25-0,0.5,285,205,125,576,1132,0,0,3,18.4
S3-25-0,0.5,285,205,125,576,1132,0,0,7,26.2
S3-25-0,0.5,285,205,125,576,1132,0,0,28,41.7
S3-25-0,0.5,285,205,125,576,1132,0,0,56,49.1
S3-25-0,0.5,285,205,125,576,1132,0,0,90,53.7
S3-25-0,0.5,285,205,125,576,1132,0,0,180,57.9
S3-45-0,0.5,185,205,225,549,1132,0,0,3,13.4
S3-45-0,0.5,185,205,225,549,1132,0,0,7,18.4
S3-45-0,0.5,185,205,225,549,1132,0,0,28,35.6
S3-45-0,0.5,185,205,225,549,1132,0,0,56,47
S3-45-0,0.5,185,205,225,549,1132,0,0,90,54.1
S3-45-0,0.5,185,205,225,549,1132,0,0,180,56.6
S3-55-0,0.5,135,205,275,536,1132,0,0,3,7.8
S3-55-0,0.5,135,205,275,536,1132,0,0,7,11.3
S3-55-0,0.5,135,205,275,536,1132,0,0,28,24
S3-55-0,0.5,135,205,275,536,1132,0,0,56,33.7
S3-55-0,0.5,135,205,275,536,1132,0,0,90,41.4
S3-55-0,0.5,135,205,275,536,1132,0,0,180,48.3
S3-0-5,0.5,410,205,0,605,1132,0,5,3,27.4
S3-0-5,0.5,410,205,0,605,1132,0,5,7,39.2
S3-0-5,0.5,410,205,0,605,1132,0,5,28,57.3
S3-0-5,0.5,410,205,0,605,1132,0,5,56,59.6
S3-0-5,0.5,410,205,0,605,1132,0,5,90,67.3
S3-0-5,0.5,410,205,0,605,1132,0,5,180,66.3
S3-20-5,0.5,310,205,100,578,1132,0,5,3,20.1
S3-20-5,0.5,310,205,100,578,1132,0,5,7,30.6
S3-20-5,0.5,310,205,100,578,1132,0,5,28,52.9
S3-20-5,0.5,310,205,100,578,1132,0,5,56,60.7
S3-20-5,0.5,310,205,100,578,1132,0,5,90,63.7
S3-20-5,0.5,310,205,100,578,1132,0,5,180,68
S3-40-5,0.5,210,205,200,552,1132,0,5,3,11.4
S3-40-5,0.5,210,205,200,552,1132,0,5,7,16.8
S3-40-5,0.5,210,205,200,552,1132,0,5,28,38.7
S3-40-5,0.5,210,205,200,552,1132,0,5,56,45.9
S3-40-5,0.5,210,205,200,552,1132,0,5,90,48.7
S3-40-5,0.5,210,205,200,552,1132,0,5,180,58.4
NC,0.35,500,190,0,770,940,2.25,0,7,57.44
NC,0.35,500,190,0,770,940,2.25,0,28,60.31
NC,0.35,500,190,0,770,940,2.25,0,90,66.1
F20G2,0.35,400,190,0,770,940,1.6,0,7,45.3
F20G2,0.35,400,190,0,770,940,1.6,0,28,60.64
F20G2,0.35,400,190,0,770,940,1.6,0,90,68.8
F20G4,0.35,400,190,100,770,940,1.6,0,7,47.33
F20G4,0.35,400,190,100,770,940,1.6,0,28,61.5
F20G4,0.35,400,190,100,770,940,1.6,0,90,73.2
F20G6,0.35,400,190,100,770,940,1.6,0,7,41.71
F20G6,0.35,400,190,100,770,940,1.6,0,28,61.82
F20G6,0.35,400,190,100,770,940,1.6,0,90,71.61
S10G2,0.35,450,190,0,770,940,2.25,50,7,45.76
S10G2,0.35,450,190,0,770,940,2.25,50,28,47.52
S10G2,0.35,450,190,0,770,940,2.25,50,90,63.84
S10G4,0.35,450,190,0,770,940,2.25,50,7,45.31
S10G4,0.35,450,190,0,770,940,2.25,50,28,55.17
S10G4,0.35,450,190,0,770,940,2.25,50,90,72.98
S10G6,0.35,450,190,0,770,940,2.25,50,7,51.48
S10G6,0.35,450,190,0,770,940,2.25,50,28,55.6
S10G6,0.35,450,190,0,770,940,2.25,50,90,72.44
F20S10G2,0.35,350,190,100,770,940,1.575,50,7,39.21
F20S10G2,0.35,350,190,100,770,940,1.575,50,28,52.71
F20S10G2,0.35,350,190,100,770,940,1.575,50,90,72.6
F20S10G4,0.35,350,190,100,770,940,1.575,50,7,33.6
F20S10G4,0.35,350,190,100,770,940,1.575,50,28,52.26
F20S10G4,0.35,350,190,100,770,940,1.575,50,90,79.7
F20S10G6,0.35,350,190,100,770,940,1.575,50,7,41.26
F20S10G6,0.35,350,190,100,770,940,1.575,50,28,55.98
F20S10G6,0.35,350,190,100,770,940,1.575,50,90,82.4
A1,0.24,637,150,0,711,936,117.208,0,3,70
A1,0.24,637,150,0,711,936,117.208,0,7,79.5
A1,0.24,637,150,0,711,936,117.208,0,28,97.4
A1,0.24,637,150,0,711,936,117.208,0,90,110.2
A2,0.24,475,150,158,681,924,86.925,0,3,62.3
A2,0.24,475,150,158,681,924,86.925,0,7,74.6
A2,0.24,475,150,158,681,924,86.925,0,28,105.9
A2,0.24,475,150,158,681,924,86.925,0,90,124.5
A3,0.24,347,148,283,639,920,82.239,0,3,42.5
A3,0.24,347,148,283,639,920,82.239,0,7,56.3
A3,0.24,347,148,283,639,920,82.239,0,28,89.4
A3,0.24,347,148,283,639,920,82.239,0,90,107.2
A4,0.19,702,135,0,641,949,246.402,0,3,78
A4,0.19,702,135,0,641,949,246.402,0,7,83.5
A4,0.19,702,135,0,641,949,246.402,0,28,96.8
A4,0.19,702,135,0,641,949,246.402,0,90,114.5
A5,0.19,512,133,173,620,932,177.664,0,3,66.8
